Location,Filename,AQI,AQI_Class
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-2-89.jpg,293,e_Very_Unhealthy
Mumbai,MH_Good_2023-03-22-18.00-1-469.jpg,47,a_Good
Mumbai,MH_VUN_2023-03-05-08.30-2-376.jpg,284,e_Very_Unhealthy
Bengaluru,BENGR_Mod_2023-03-01-08.30-1-286.jpg,70,b_Moderate
Tamil Nadu,TN_MOD_2023-02-09-08.30-1-27.jpg,78,b_Moderate
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-24-08.30-1-337.jpg,141,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_VUN_2023-03-05-08.30-2-26.jpg,284,e_Very_Unhealthy
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 15.00-3-51.jpg,156,d_Unhealthy
"Biratnagar, Nepal",BIR_UFSG_2023-02-14- 14.30-1-53.jpg,101,c_Unhealthy_for_Sensitive_Groups
"ITO, Delhi",DEL_SEV_2023-02-20-14.00-1-131.jpg,363,f_Severe
Bengaluru,BENGR_Mod_2023-02-21-08.30-1-111.jpg,56,b_Moderate
Tamil Nadu,TN_Good_2023-02-20-16.30-1.jpg,43,a_Good
Tamil Nadu,TN_UnFSG_2023-03-08-08.30-1-191.jpg,121,c_Unhealthy_for_Sensitive_Groups
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 15.00-2-54.jpg,156,d_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-3785.jpg,230,e_Very_Unhealthy
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 1700-3-75.jpg,156,d_Unhealthy
"ITO, Delhi",DEL_SEV_2023-02-07-14.00-2-5.jpg,449,f_Severe
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-08-08.30-1-70.jpg,133,c_Unhealthy_for_Sensitive_Groups
"ITO, Delhi",DEL_SEV_2023-02-07-14.00-2-7.jpg,449,f_Severe
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-2-85.jpg,293,e_Very_Unhealthy
"Knowledge park, Greater Noida",UP_UN_2023-03-01-08.30-1-65.jpg,199,d_Unhealthy
Mumbai,MH_VUN_2023-03-05-08.30-1-81.jpg,284,e_Very_Unhealthy
"Biratnagar, Nepal",BIR_UFSG_2023-02-14- 14.30-2-20.jpg,101,c_Unhealthy_for_Sensitive_Groups
"Knowledge park, Greater Noida",UP_SEV_2023-02-18-11.00-1-27.jpg,320,f_Severe
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 1700-2-29.jpg,156,d_Unhealthy
Bengaluru,BENGR_Mod_2023-03-09-08.30-1-186.jpg,51,b_Moderate
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 15.00-4-14.jpg,156,d_Unhealthy
Mumbai,MH_Good_2023-03-23-17.00-1-232.jpg,47,a_Good
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-03- 10.00-2-67.jpg,163,d_Unhealthy
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-1-50.jpg,293,e_Very_Unhealthy
"Biratnagar, Nepal",BIR_UFSG_2023-02-14- 14.30-3-15.jpg,101,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_Mod_2023-02-21-08.30-1-291.jpg,56,b_Moderate
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-51.jpg,281,e_Very_Unhealthy
"Knowledge park, Greater Noida",UP_UHFSG_2023-03-06-11.30-1-609.jpg,104,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_Good_2023-02-21-08.30-2-56.jpg,29,a_Good
Mumbai,MH_UH_2023-02-19-12.00-1-49.jpg,160,d_Unhealthy
"Biratnagar, Nepal",BIR_UFSG_2023-02-14- 14.30-2-33.jpg,101,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-2-11.jpg,107,c_Unhealthy_for_Sensitive_Groups
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-4241.jpg,230,e_Very_Unhealthy
"Biratnagar, Nepal",BRI_Un_2023-02-03- 10.00-7.jpg,163,d_Unhealthy
Mumbai,MH_UH_2023-02-10-14.30-1-38.jpg,160,d_Unhealthy
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-3-21.jpg,158,d_Unhealthy
Mumbai,MH_UnFSG_2023-02-17-19.00-2-21.jpg,145,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_UnFSG_2023-02-15-10.30-1-50.jpg,143,c_Unhealthy_for_Sensitive_Groups
"ITO, Delhi",DEL_SEV_2023-02-20-14.00-2-346.jpg,363,f_Severe
Bengaluru,BENGR_UnFSG_2023-03-08-08.30-1-476.jpg,106,c_Unhealthy_for_Sensitive_Groups
"Knowledge park, Greater Noida",UP_SEV_2023-02-18-14.30-1-75.jpg,331,f_Severe
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-16.00-3-61.jpg,141,c_Unhealthy_for_Sensitive_Groups
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-15.00-3-36.jpg,141,c_Unhealthy_for_Sensitive_Groups
"ITO, Delhi",DEL_VUH_2023-02-04-17.00-2-40.jpg,281,e_Very_Unhealthy
"Biratnagar, Nepal",BIR_MOD_2023-02-13-09.30-2-78.jpg,91,b_Moderate
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-2665.jpg,230,e_Very_Unhealthy
Mumbai,MH_UnFSG_2023-03-10-16.00-1-11.jpg,141,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_Good_2023-02-20-16.30-2-1.jpg,43,a_Good
"ITO, Delhi",DEL_SEV_2023-02-20-14.00-1-306.jpg,363,f_Severe
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1833.jpg,230,e_Very_Unhealthy
Mumbai,MH_UnFSG_2023-02-15-10.30-1-84.jpg,143,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_Mod_2023-03-09-08.30-1-336.jpg,51,b_Moderate
Tamil Nadu,TN_UnFSG_2023-03-01-08.30-1-136.jpg,111,c_Unhealthy_for_Sensitive_Groups
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-08-08.30-4.jpg,133,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_UnFSG_2023-02-15-10.30-1-18.jpg,143,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_Mod_2023-03-04-08.30-1-126.jpg,71,b_Moderate
Mumbai,MH_Good_2023-03-22-18.00-1-49.jpg,47,a_Good
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-1-57.jpg,293,e_Very_Unhealthy
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 1700-3-41.jpg,156,d_Unhealthy
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-24-08.30-1.jpg,141,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_VUN_2023-03-05-08.30-1-46.jpg,284,e_Very_Unhealthy
Bengaluru,BENGR_Good_2023-02-19-08.30-1-14.jpg,41,a_Good
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-3657.jpg,230,e_Very_Unhealthy
"ITO, Delhi",DEL_SEV_2023-02-20-14.00-2-471.jpg,363,f_Severe
Mumbai,MH_UnFSG_2023-02-17-13.00-2-60.jpg,140,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UHFSG_2023-02-10-08.30-1-25.jpg,105,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-44.jpg,136,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_Mod_2023-03-04-08.30-1-121.jpg,71,b_Moderate
"ITO, Delhi",DEL_SEV_2023-02-20-14.00-2-291.jpg,363,f_Severe
Tamil Nadu,TN_Mod_2023-02-28-08.30-1-36.jpg,73,b_Moderate
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-16.00-1-25.jpg,141,c_Unhealthy_for_Sensitive_Groups
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-505.jpg,230,e_Very_Unhealthy
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-3-2.jpg,158,d_Unhealthy
Tamil Nadu,TN_Good_2023-02-21-08.30-1-71.jpg,29,a_Good
"Knowledge park, Greater Noida",UP_UN_2023-03-01-08.30-1-229.jpg,199,d_Unhealthy
"ITO, Delhi",DEL_SEV_2023-02-07-14.00-2-31.jpg,449,f_Severe
Tamil Nadu,TN_Good_2023-02-22-09.30-1-151.jpg,36,a_Good
Bengaluru,BENGR_Good_2023-03-17-08.30-1-456.jpg,15,a_Good
"ITO, Delhi",DEL_SEV_2023-02-17-13.00-2-1.jpg,372,f_Severe
"Knowledge park, Greater Noida",UP_SEV_2023-02-20-08.30-1-24.jpg,331,f_Severe
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-2-58.jpg,158,d_Unhealthy
"ITO, Delhi",DEL_SEV_2023-02-16-18.00-1.jpg,330,f_Severe
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-16.00-2-111.jpg,141,c_Unhealthy_for_Sensitive_Groups
"Biratnagar, Nepal",BIR_UH_2023-03-16-12.30-3-260.jpg,154,d_Unhealthy
"ITO, Delhi",DEL_VUH_2023-02-04-17.00-2-22.jpg,281,e_Very_Unhealthy
"ITO, Delhi",DEL_SEV_2023-02-07-14.00-1-55.jpg,449,f_Severe
Bengaluru,BENGR_Good_2023-03-25-08.30-1-13.jpg,32,a_Good
"Biratnagar, Nepal",BRI_Un_2023-02-02- 15.00-3.jpg,156,d_Unhealthy
"Knowledge park, Greater Noida",UP_UN_2023-03-01-08.30-1-189.jpg,199,d_Unhealthy
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-03- 10.00-1-36.jpg,163,d_Unhealthy
"Knowledge park, Greater Noida",UP_VU_2023-02-16-08.30-7.jpg,202,e_Very_Unhealthy
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-5.jpg,136,c_Unhealthy_for_Sensitive_Groups
"ITO, Delhi",DEL_SEV_2023-02-22-14.00-2-236.jpg,450,f_Severe
Tamil Nadu,TN_Good_2023-02-21-08.30-3-96.jpg,29,a_Good
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 1700-3-5.jpg,156,d_Unhealthy
Mumbai,MH_UnFSG_2023-03-08-11.00-1-261.jpg,124,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_UnFSG_2023-02-23-11.00-1-71.jpg,130,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_Good_2023-02-21-08.30-2-6.jpg,29,a_Good
"Knowledge park, Greater Noida",UP_SEV_2023-02-20-08.30-3.jpg,331,f_Severe
Mumbai,MH_UN_2023-03-13-10.00-1-1.jpg,197,d_Unhealthy
"Knowledge park, Greater Noida",UP_UHFSG_2023-03-06-11.30-1-469.jpg,104,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_UH_2023-02-18-11.00-1-29.jpg,151,d_Unhealthy
"Knowledge park, Greater Noida",UP_UHFSG_2023-03-06-11.30-1-329.jpg,104,c_Unhealthy_for_Sensitive_Groups
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-1-70.jpg,158,d_Unhealthy
"ITO, Delhi",DEL_SEV_2023-02-20-14.00-3-266.jpg,363,f_Severe
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-2-8.jpg,293,e_Very_Unhealthy
Tamil Nadu,TN_UnFSG_2023-03-01-08.30-1-236.jpg,111,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_Good_2023-02-20-08.30-1-29.jpg,37,a_Good
Bengaluru,BENGR_Mod_2023-02-24-08.30-1-311.jpg,68,b_Moderate
Mumbai,MH_UnFSG_2023-03-08-11.00-3.jpg,124,c_Unhealthy_for_Sensitive_Groups
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-15.00-2-5.jpg,141,c_Unhealthy_for_Sensitive_Groups
"ITO, Delhi",DEL_SEV_2023-02-17-13.00-2-44.jpg,372,f_Severe
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-18.jpg,281,e_Very_Unhealthy
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 1700-2-60.jpg,156,d_Unhealthy
Tamil Nadu,TN_Good_2023-03-21-08.30-2-249.jpg,27,a_Good
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-3-27.jpg,158,d_Unhealthy
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-15.00-3-38.jpg,141,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_Good_2023-03-21-08.30-1-15.jpg,27,a_Good
"Knowledge park, Greater Noida",UP_SEV_2023-02-20-08.30-1-57.jpg,331,f_Severe
Mumbai,MH_Mod_2023-03-21-15.00-1-470.jpg,92,b_Moderate
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-2-131.jpg,293,e_Very_Unhealthy
"Biratnagar, Nepal",BIR_UFSG_2023-02-14- 14.30-2-27.jpg,101,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_Mod_2023-03-21-15.00-1-50.jpg,92,b_Moderate
"Knowledge park, Greater Noida",UP_UHFSG_2023-03-06-11.30-1-557.jpg,104,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_UN_2023-03-15-15.00-1-169.jpg,162,d_Unhealthy
Tamil Nadu,TN_UNH_2023-02-03-13.30-1-27.jpg,167,d_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-4273.jpg,230,e_Very_Unhealthy
Bengaluru,BENGR_Mod_2023-03-06-08.30-1-556.jpg,68,b_Moderate
Tamil Nadu,TN_Good_2023-02-20-16.30-2-16.jpg,43,a_Good
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-03- 10.00-3-53.jpg,163,d_Unhealthy
Tamil Nadu,TN_Good_2023-02-21-08.30-3-126.jpg,29,a_Good
"Dimapur, Nagaland",Dimapur_MOD_2023-02-10-08.30-2-25.jpg,63,b_Moderate
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-16.00-3-62.jpg,141,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_Good_2023-02-22-09.30-3-266.jpg,36,a_Good
Mumbai,MH_VUN_2023-02-25-10.00-1-326.jpg,206,e_Very_Unhealthy
Bengaluru,BENGR_Good_2023-02-27-08.30-1-341.jpg,47,a_Good
"Knowledge park, Greater Noida",UP_UN_2023-03-01-08.30-1-345.jpg,199,d_Unhealthy
Mumbai,MH_Good_2023-03-22-11.00-8.jpg,49,a_Good
Tamil Nadu,TN_Good_2023-02-27-16.30-2-1.jpg,43,a_Good
"Knowledge park, Greater Noida",UP_VUN_2023-03-02-09.00-1-117.jpg,223,e_Very_Unhealthy
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-15.00-2-41.jpg,141,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_Good_2023-03-21-08.30-1-428.jpg,47,a_Good
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1633.jpg,230,e_Very_Unhealthy
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-28.jpg,136,c_Unhealthy_for_Sensitive_Groups
"Dimapur, Nagaland",Dimapur_UHFSG_2023-02-02- 09.00-3-48.jpg,103,c_Unhealthy_for_Sensitive_Groups
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-16.00-1-22.jpg,141,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_UnFSG_2023-02-15-10.30-1-66.jpg,143,c_Unhealthy_for_Sensitive_Groups
"Knowledge park, Greater Noida",UP_SEV_2023-02-20-08.30-1-70.jpg,331,f_Severe
"Biratnagar, Nepal",BIR_MOD_2023-02-13-09.30-2-61.jpg,91,b_Moderate
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-16.00-3-13.jpg,141,c_Unhealthy_for_Sensitive_Groups
"ITO, Delhi",DEL_VUH_2023-02-04-17.00-2-69.jpg,281,e_Very_Unhealthy
"Knowledge park, Greater Noida",UP_VUN_2023-02-27-10.30-1-77.jpg,299,e_Very_Unhealthy
"Biratnagar, Nepal",BRI_Un_2023-02-02- 12.00-17.jpg,158,d_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-3777.jpg,230,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-33.jpg,230,e_Very_Unhealthy
Mumbai,MH_UnFSG_2023-03-14-13.00-1-271.jpg,138,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UN_2023-03-06-09.00-1-266.jpg,161,d_Unhealthy
Mumbai,MH_UnFSG_2023-03-18-11.00-1-337.jpg,114,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_Mod_2023-03-01-08.30-1-451.jpg,70,b_Moderate
Mumbai,MH_Good_2023-03-23-17.00-12.jpg,47,a_Good
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 15.00-4-68.jpg,156,d_Unhealthy
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-16.00-2-19.jpg,141,c_Unhealthy_for_Sensitive_Groups
"ITO, Delhi",DEL_SEV_2023-02-07-14.00-1-22.jpg,449,f_Severe
"ITO, Delhi",DEL_VUnH_2023-02-04-17.00-1.jpg,281,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-2521.jpg,230,e_Very_Unhealthy
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-15.00-3-23.jpg,141,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_Mod_2023-02-21-08.30-1-71.jpg,56,b_Moderate
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-3409.jpg,230,e_Very_Unhealthy
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-15.00-1-15.jpg,141,c_Unhealthy_for_Sensitive_Groups
"Biratnagar, Nepal",BIR_UFSG_2023-02-14- 14.30-1-10.jpg,101,c_Unhealthy_for_Sensitive_Groups
"Dimapur, Nagaland",Dimapur_UHFSG_2023-02-02- 09.00-4.jpg,103,c_Unhealthy_for_Sensitive_Groups
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-1-11.jpg,293,e_Very_Unhealthy
"Knowledge park, Greater Noida",UP_UHFSG_2023-03-06-11.30-1-513.jpg,104,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_UnFSG_2023-02-15-10.30-1-19.jpg,143,c_Unhealthy_for_Sensitive_Groups
"Dimapur, Nagaland",Dimapur_UHFSG_2023-02-02- 09.00-2-18.jpg,103,c_Unhealthy_for_Sensitive_Groups
"Knowledge park, Greater Noida",UP_VUN_2023-02-27-10.30-1-37.jpg,299,e_Very_Unhealthy
Mumbai,MH_UnFSG_2023-02-15-10.30-1-62.jpg,143,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_Good_2023-02-27-16.30-2-16.jpg,43,a_Good
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-561.jpg,230,e_Very_Unhealthy
"Knowledge park, Greater Noida",UP_UHFSG_2023-03-06-11.30-1-369.jpg,104,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_UnFSG_2023-03-14-13.00-1-253.jpg,138,c_Unhealthy_for_Sensitive_Groups
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-1-119.jpg,158,d_Unhealthy
"ITO, Delhi",DEL_SEV_2023-02-20-14.00-2-596.jpg,363,f_Severe
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-16.00-2-70.jpg,141,c_Unhealthy_for_Sensitive_Groups
"ITO, Delhi",DEL_SEV_2023-02-17-13.00-1-34.jpg,372,f_Severe
Bengaluru,BENGR_Mod_2023-02-25-08.30-1-591.jpg,73,b_Moderate
"Knowledge park, Greater Noida",UP_SEV_2023-02-18-11.00-1-25.jpg,320,f_Severe
"ITO, Delhi",DEL_SEV_2023-02-16-18.00-2-104.jpg,330,f_Severe
"ITO, Delhi",DEL_SEV_2023-02-17-13.00-1-63.jpg,372,f_Severe
Bengaluru,BENGR_Good_2023-02-28-08.30-1-256.jpg,37,a_Good
"ITO, Delhi",DEL_SEV_2023-02-17-13.00-1-80.jpg,372,f_Severe
"ITO, Delhi",DEL_VUH_2023-02-04-17.00-2-78.jpg,281,e_Very_Unhealthy
Bengaluru,BENGR_Good_2023-02-27-08.30-1-401.jpg,47,a_Good
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-16.00-3-18.jpg,141,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_Mod_2023-03-04-08.30-1-301.jpg,71,b_Moderate
